# MLP λ=0.04 uniform-trained (3.59M steps): 8 Patterns, 0.03-0.45 step 0.03


uniform_random,0.03,8.7,8843
uniform_random,0.06,8.8,17694
uniform_random,0.09,9.0,26805
uniform_random,0.12,9.3,35770
uniform_random,0.15,9.7,44470
uniform_random,0.18,10.2,53636
uniform_random,0.21,10.9,62844
uniform_random,0.24,12.0,71638
uniform_random,0.27,13.7,80506
uniform_random,0.30,19.2,89342
uniform_random,0.33,31.3,82855
uniform_random,0.36,76.0,91848
uniform_random,0.39,124.0,93105
uniform_random,0.42,113.1,78703
uniform_random,0.45,130.3,78889
tornado,0.03,7.1,8784
tornado,0.06,7.3,17657
tornado,0.09,7.5,26561
tornado,0.12,7.8,35764
tornado,0.15,8.3,44320
tornado,0.18,9.3,53293
tornado,0.21,11.3,61122
tornado,0.24,13.7,60383
tornado,0.27,16.7,58007
tornado,0.30,18.0,55974
tornado,0.33,19.1,56422
tornado,0.36,15.3,55478
tornado,0.39,21.7,58104
tornado,0.42,51.0,55778
tornado,0.45,57.2,58970
bit_complement,0.03,11.6,8765
bit_complement,0.06,11.9,17610
bit_complement,0.09,12.4,26476
bit_complement,0.12,13.2,35660
bit_complement,0.15,15.1,44166
bit_complement,0.18,22.1,52824
bit_complement,0.21,76.9,51827
bit_complement,0.24,118.8,45427
bit_complement,0.27,149.9,38406
bit_complement,0.30,193.9,35097
bit_complement,0.33,127.8,31115
bit_complement,0.36,215.0,30358
bit_complement,0.39,208.4,30441
bit_complement,0.42,219.9,30094
bit_complement,0.45,292.0,33386
bit_reverse,0.03,8.8,8780
bit_reverse,0.06,9.1,17643
bit_reverse,0.09,9.8,26519
bit_reverse,0.12,15.5,35555
bit_reverse,0.15,50.5,41013
bit_reverse,0.18,88.6,42938
bit_reverse,0.21,100.8,44460
bit_reverse,0.24,100.4,45926
bit_reverse,0.27,123.0,47199
bit_reverse,0.30,119.3,48804
bit_reverse,0.33,141.4,50000
bit_reverse,0.36,139.4,51373
bit_reverse,0.39,179.2,52284
bit_reverse,0.42,167.5,50722
bit_reverse,0.45,198.1,54066
bit_rotation,0.03,7.4,8782
bit_rotation,0.06,7.6,17661
bit_rotation,0.09,7.8,26556
bit_rotation,0.12,8.3,35768
bit_rotation,0.15,9.1,44315
bit_rotation,0.18,12.8,53126
bit_rotation,0.21,47.8,58924
bit_rotation,0.24,62.4,61518
bit_rotation,0.27,67.1,65329
bit_rotation,0.30,67.2,68923
bit_rotation,0.33,67.7,70243
bit_rotation,0.36,67.4,72016
bit_rotation,0.39,87.7,72406
bit_rotation,0.42,104.0,74354
bit_rotation,0.45,110.3,75755
shuffle,0.03,7.4,8783
shuffle,0.06,7.5,17659
shuffle,0.09,7.9,26555
shuffle,0.12,8.2,35752
shuffle,0.15,9.1,44316
shuffle,0.18,11.6,52573
shuffle,0.21,11.9,55418
shuffle,0.24,12.9,58495
shuffle,0.27,18.4,58221
shuffle,0.30,34.0,59546
shuffle,0.33,41.2,66499
shuffle,0.36,58.0,68512
shuffle,0.39,95.4,67762
shuffle,0.42,103.9,74421
shuffle,0.45,142.1,74867
transpose,0.03,8.8,8779
transpose,0.06,9.0,17636
transpose,0.09,9.5,26521
transpose,0.12,14.3,35617
transpose,0.15,35.2,41850
transpose,0.18,44.5,47285
transpose,0.21,54.3,51039
transpose,0.24,67.9,54151
transpose,0.27,81.3,56998
transpose,0.30,98.6,59264
transpose,0.33,108.2,61531
transpose,0.36,111.3,63274
transpose,0.39,108.3,65311
transpose,0.42,108.0,66470
transpose,0.45,124.7,68593
neighbor,0.03,5.1,8786
neighbor,0.06,5.0,17673
neighbor,0.09,5.0,26609
neighbor,0.12,5.1,35832
neighbor,0.15,5.2,44380
neighbor,0.18,5.1,53389
neighbor,0.21,5.2,62419
neighbor,0.24,5.2,71467
neighbor,0.27,5.2,80509
neighbor,0.30,5.3,89258
neighbor,0.33,5.3,97548
neighbor,0.36,5.4,106326
neighbor,0.39,5.4,115222
neighbor,0.42,5.5,123684
neighbor,0.45,5.5,132874
# ===== shuffle finetuned =====
shuffle_finetuned,0.03,7.4,8783
shuffle_finetuned,0.06,7.5,17659
shuffle_finetuned,0.09,7.9,26555
shuffle_finetuned,0.12,8.2,35752
shuffle_finetuned,0.15,9.1,44316
shuffle_finetuned,0.18,11.9,53153
shuffle_finetuned,0.21,10.3,54300
shuffle_finetuned,0.24,13.4,58672
shuffle_finetuned,0.27,14.5,62852
shuffle_finetuned,0.30,30.8,67669
shuffle_finetuned,0.33,49.0,64816
shuffle_finetuned,0.36,44.7,74467
shuffle_finetuned,0.39,86.4,75417
shuffle_finetuned,0.42,113.2,74632
shuffle_finetuned,0.45,126.9,80663
